Name,Gender,Nationality,Department,Position,Age,Birthdate,Email,Phone,Address,Hire Date,Contract Type,Employee ID,Salary,Termination Date
Jason Guzman,Female,Mexican,Sales,Senior Salesperson,34,4/13/1991,sarah96@example.com,8724436621,"798 Lopez Loaf
Lake Johnside, NE 40143",8/26/2009,Temporary,EMP1000,63313.34,
Sharon Bass,Male,Mexican,Cashier,Lead Cashier,53,7/29/1972,annabutler@example.com,(754)497-9452x7650,"76684 Jessica Passage Suite 829
Ramseyton, DE 40313",6/9/1992,Full-time,EMP1001,34435.31,
Mia James,Male,German,Inventory,Warehouse Assistant,26,11/3/1999,shahjames@example.com,(918)457-6175x025,"9619 Robert Prairie Apt. 798
Simmonsmouth, IL 59719",11/1/1991,Part-time,EMP1002,47713.44,
Edward Campbell,Female,Indian,Inventory,Warehouse Assistant,57,7/21/1968,annette22@example.net,+1-885-275-0669x301,"52080 Valencia Junction Suite 464
Michaelborough, KS 54934",8/5/1970,Part-time,EMP1003,42573.45,4/26/1974
Jonathan Gilbert,Other,Indian,Customer Service,Support Agent,21,5/10/2004,idennis@example.net,6706342666,"Unit 0576 Box 6343
DPO AA 59396",6/4/1992,Full-time,EMP1004,46463.75,10/4/1998
Angela Wright,Female,Mexican,Customer Service,Support Agent,47,1/11/1978,osbornecorey@example.net,259-271-5812,"2547 Andrea View Apt. 556
East Scottshire, VT 61872",8/24/1993,Temporary,EMP1005,61523.19,10/13/1999
Tina Pacheco,Other,German,Customer Service,Customer Service Rep,62,12/17/1963,invalid_email.com,+1-895-252-3371x2111,"05162 Chandler Square
East Williamhaven, IN 70277",12/30/1975,      ,EMP1006,54863.37,6/22/1983
Destiny Gould,Male,British,Inventory,Stock Clerk,45,3/16/1980,matthewharris@example.org,926.977.8603,"05523 Duarte Islands
Phillipsberg, WV 33284",5/22/1987,Temporary,EMP1007,65975.72,
Kimberly Torres MD,Other,German,Cashier,Lead Cashier,35,12/8/1990,joshua01@example.net,,,12/28/1986,Temporary,EMP1008,54470.78,1/31/1988
Edward Roy,Other,American,Management,Store Manager,29,10/6/1996,dunnsarah@example.org,,"Unit 1679 Box 7951
DPO AP 55688",11/15/2003,Temporary,EMP1009,63434.96,4/23/2008
Luke Smith,Other,American,Sales,Sales Associate,52,8/11/1973,patrick58@example.org,-5993501,"315 Robinson Inlet
South Thomas, MT 03594",5/5/1979,Part-time,EMP1010,39076.12,
Alicia Taylor,Other,American,Management,Assistant Manager,38,1/7/1987,xbanks@example.net,-2643,"764 Paula Hill Apt. 369
New Alec, ME 30695",1/31/2014,Part-time,EMP1011,52606.51,11/8/2022
Alexander Duncan,Other,Indian,Customer Service,Support Agent,20,10/14/2005,craigfletcher@example.org,001-568-958-4062x37086,"87424 Stephens Via
Andersonhaven, MH 32059",9/4/2029,Temporary,EMP1012,27125.81,
Andrew Thornton,Other,American,Inventory,Warehouse Assistant,61,1/18/1964,morgan38@example.org,438-511-5618x0217,"574 Lindsey Spurs Apt. 130
Lake Brian, VI 97103",6/7/1966,Part-time,EMP1013,28192.84,12/17/1972
Kelli Wade,Other,American,Customer Service,Customer Service Rep,20,12/26/2005,wrodriguez@example.org,001-390-758-9534,"6049 Quinn Hollow
Kimberlyberg, IL 48670",10/17/2012,Full-time,EMP1014,64751.64,
Jesse Hansen,Other,American,Cashier,Lead Cashier,33,5/11/1992,anthony39@example.org,459-495-4018,"91937 Melissa Court Suite 618
Douglasstad, NE 84346",4/24/2015,Full-time,EMP1015,37928.35,7/28/2018
Daniel Parker,Female,British,Inventory,Stock Clerk,35,3/29/1990,sandra32@example.org,+1-963-450-7679x47799,"35458 Pamela Circle
Osbornmouth, AZ 57853",10/2/1999,Freelance,EMP1016,79649.22,
Joshua Brown,Female,British,Inventory,Warehouse Assistant,56,10/18/1969,ljones@example.com,(656)396-1789,"875 Christopher Club Suite 694
Kathleenport, AK 71676",1/25/1993,Full-time,EMP1017,45351.69,
Mark Sims,Female,German,Inventory,Warehouse Assistant,31,7/21/1994,laura75@example.net,+1-583-796-1803x61604,"678 Levine Lodge Apt. 467
Rileyshire, NE 63591",3/1/1989,Temporary,EMP1018,29733.7,
Angel Johnston,Female,Canadian,Inventory,Warehouse Assistant,64,12/3/1961,invalid_email.com,,"71377 Robert Haven Apt. 288
Kevinbury, OH 46430",3/28/1983,Part-time,EMP1019,78421.2,
Kelli Sanford,Other,American,Customer Service,Support Agent,44,1/3/1981,mannaustin@example.com,+1-259-811-2520x2156,"690 Clark Crossroad Apt. 678
South John, LA 24379",2/4/1997,Temporary,EMP1020,61341.86,1/19/2006
Christina Watkins,Male,Canadian,Sales,Sales Associate,150,1/10/1962,perezjessica@example.net,(697)814-8041x53695,"91998 Savannah Views Suite 169
Shieldsmouth, TX 43137",1/2/1983,Temporary,EMP1021,58204.15,12/3/1984
Valerie Lee,Male,Indian,Customer Service,Customer Service Rep,50,3/6/1975,smithjeffrey@example.com,910-270-8306,"2477 Hannah Groves Apt. 926
Carrollside, NY 59833",4/15/1963,Freelance,EMP1022,43379.69,
Diane Hess,Female,Indian,Inventory,Warehouse Assistant,32,7/25/1993,nicole17@example.org,-8997,"24110 Torres Island Apt. 266
Jonesview, CT 04792",3/1/1995,Temporary,EMP1023,64598.71,
Jerome Richard,Female,French,Sales,Sales Associate,27,1/8/1998,estradastephen@example.net,001-311-358-5671x81393,"11040 Fuller Fort
Loweberg, MA 41944",4/15/1999,Part-time,EMP1024,70007.58,9/27/2002
Michael Martinez,Female,Indian,Inventory,Warehouse Assistant,56,3/10/1969,codybennett@example.org,,"85798 Cox Fall Apt. 008
Johnsonfort, SC 85493",9/28/1970,Freelance,EMP1025,58125.43,
Paul Sullivan,Other,American,Customer Service,Customer Service Rep,21,8/19/2004,mcdonaldlaura@example.net,532-288-4641x662,"55174 Benjamin Estate Suite 423
Nicoleberg, MN 83765",6/13/2023,Freelance,EMP1026,68097.64,
Kathy Adams,Other,Indian,Customer Service,Support Agent,54,7/9/1971,wwhite@example.org,(973)469-2482,"2693 Walsh Skyway
North Paulahaven, MI 41072",8/15/1993,Full-time,EMP1027,62126.23,
Cesar Sanchez,Female,French,Cashier,Cashier,18,6/6/2007,hherrera@example.net,001-627-214-7651,"16391 Rowland Avenue Apt. 349
Mcdowellstad, MO 80758",3/14/2034,Full-time,EMP1028,64320.11,
Anthony Webb,Other,American,Sales,Sales Associate,35,9/23/1990,iwalker@example.org,957-266-3969,"69465 Morgan Drives
Donaldhaven, LA 21897",11/22/2007,Freelance,EMP1029,41812.33,
Thomas Owens,Male,Canadian,Sales,Sales Associate,30,12/25/1995,franklinryan@example.org,(329)633-7284,"PSC 7513, Box 6847
APO AP 65678",5/26/1999,Temporary,EMP1030,42370.99,
Christopher May,Female,Canadian,Customer Service,Support Agent,62,12/3/1963,seanwang@example.com,(473)952-9673,"5378 John Ports
Jacksonstad, MS 84968",8/11/1990,Part-time,EMP1031,73983.91,
Joshua Wilson,Female,Canadian,Customer Service,Support Agent,-5,1/7/1977,sbailey@example.org,7089737248,,4/9/1970,Temporary,EMP1032,68324.72,3/21/1980
Jackson Ramirez,Female,Canadian,Cashier,Cashier,33,7/28/1992,asnyder@example.org,001-600-209-5309,"845 Schultz Crossroad Apt. 387
West Lauren, AS 99877",1/15/2003,Full-time,EMP1033,51314.92,
Cynthia Taylor,Female,Indian,Management,Assistant Manager,20,4/6/2005,jamiearmstrong@example.net,791.721.5288,"PSC 1069, Box 1513
APO AE 22831",2/24/1993,Freelance,EMP1034,66435.08,10/1/1998
Stacy Nelson,Male,British,Inventory,Warehouse Assistant,43,10/20/1982,invalid_email.com,266.741.1179x50469,"123 Devin Garden Suite 252
Michelletown, TX 01624",12/26/2004,Freelance,EMP1035,64652.6,4/6/2014
Jasmine Matthews,Other,American,Inventory,Warehouse Assistant,25,4/6/2000,stephensmith@example.com,001-261-853-4902x123,"2747 Bush Mills
Williamview, WI 79698",5/6/1999,Part-time,EMP1036,42036.32,1/7/2005
James Smith,Other,French,Customer Service,Support Agent,62,3/13/1963,alyssa94@example.net,+1-253-418-2633x2605,"350 Smith Points Apt. 437
Terriside, NM 62445",8/14/1982,Temporary,EMP1037,27785.43,
Eric Grant,Other,American,Inventory,Stock Clerk,41,5/31/1984,carrillodavid@example.org,(702)956-1723x16026,,5/10/2010,Part-time,EMP1038,27382.73,
