Sale ID,Product ID,Seller First Name,Seller Last Name,Seller Employee ID,Buyer Name,Sale Date,Quantity,Unit Price,Total Price,Sale Status
SALE1000,PROD111,Scott,Boyd,EMP1119,Michael Brown,10/31/1995,1,31.34,31.34,Cancelled
SALE1001,PROD112,Susan,Horn,EMP1157,Laura Jones,6/20/1992,6,22.53,135.18,Pending
SALE1002,PROD101,Jennifer,Shaffer,EMP1267,Michael Jones,4/27/2007,8,41.31,330.48,Pending
SALE1003,PROD100,Jonathan,Gilbert,EMP1004,David Brown,2/10/1996,4,63.6,254.4,Cancelled
SALE1004,PROD116,Samantha,Hodges,EMP1078,David Garcia,5/2/1956,10,45.97,459.7,Cancelled
SALE1005,PROD108,Eduardo,Thompson,EMP1192,David Williams,10/15/2006,8,45.64,365.12,Pending
SALE1006,PROD103,Marcus,Nichols,EMP1087,David Brown,3/2/2019,2,42.72,85.44,Cancelled
SALE1007,PROD115,Christian,Massey,EMP1102,David Smith,3/29/1958,2,37.96,75.92,Cancelled
SALE1008,PROD116,Ronald,Kelley,EMP1205,Michael Williams,6/8/1995,5,76.73,383.65,Completed
SALE1009,PROD106,William,Taylor,EMP1207,David Johnson,4/29/1982,7,77.16,540.12,Pending
SALE1010,PROD112,Kelli,Wade,EMP1014,Emily Williams,8/30/2015,4,68.01,272.04,Cancelled
SALE1011,PROD116,Andrew,Thornton,EMP1013,Michael Smith,7/21/1971,3,62.38,187.14,Pending
SALE1012,PROD110,Amanda,Thomas,EMP1170,David Johnson,6/22/1984,3,85.59,256.77,Cancelled
SALE1013,PROD112,Michael,Smith,EMP1284,John Brown,7/6/1966,4,60.25,241,Cancelled
SALE1014,PROD114,Antonio,Hansen,EMP1139,Sarah Smith,10/3/1982,1,63.2,63.2,Completed
SALE1015,PROD112,Mark,Norman,EMP1291,Laura Brown,5/14/1996,6,71.31,427.86,Completed
SALE1016,PROD104,Christina,Watkins,EMP1021,Michael Jones,2/18/1984,1,41.77,41.77,Pending
SALE1017,PROD102,Christine,Collins,EMP1109,Sarah Garcia,12/16/2026,9,57.27,515.43,Pending
SALE1018,PROD106,Adam,Briggs,EMP1229,Sarah Johnson,12/7/1996,3,8.12,24.36,Pending
SALE1019,PROD120,Jennifer,Juarez,EMP1156,Laura Jones,2/14/1990,7,65.46,458.22,Completed
