name,gender,nationality,department,position,birthdate,email,phone,address,hire_date,contract_type,employee_id,salary,termination_date
Jason Guzman,Male,Mexican,Sales,Senior Salesperson,4/13/1991,sarah96@example.com,8724436621,"798 Lopez Loaf
Lake Johnside, NE 40143",2009-08-26,Temporary,EMP1000,63313.34,
Sharon Bass,Female,Mexican,Cashier,Lead Cashier,7/29/1972,annabutler@example.com,0000000000,"76684 Jessica Passage Suite 829
Ramseyton, DE 40313",1992-06-09,Full-time,EMP1001,34435.31,
Mia James,Female,German,Inventory,Warehouse Assistant,11/3/1999,shahjames@example.com,0000000000,"9619 Robert Prairie Apt. 798
Simmonsmouth, IL 59719",1991-11-01,Part-time,EMP1002,47713.44,
Edward Campbell,Male,Indian,Inventory,Warehouse Assistant,7/21/1968,annette22@example.net,0000000000,"52080 Valencia Junction Suite 464
Michaelborough, KS 54934",1970-08-05,Part-time,EMP1003,42573.45,4/26/1974
Jonathan Gilbert,Male,Indian,Customer Service,Support Agent,5/10/2004,idennis@example.net,6706342666,"Unit 0576 Box 6343
DPO AA 59396",1992-06-04,Full-time,EMP1004,46463.75,10/4/1998
Angela Wright,Female,Mexican,Customer Service,Support Agent,1/11/1978,osbornecorey@example.net,2592715812,"2547 Andrea View Apt. 556
East Scottshire, VT 61872",1993-08-24,Temporary,EMP1005,61523.19,10/13/1999
Tina Pacheco,Female,German,Customer Service,Customer Service Rep,12/17/1963,nan,0000000000,"05162 Chandler Square
East Williamhaven, IN 70277",1975-12-30,      ,EMP1006,54863.37,6/22/1983
Destiny Gould,Female,British,Inventory,Stock Clerk,3/16/1980,matthewharris@example.org,9269778603,"05523 Duarte Islands
Phillipsberg, WV 33284",1987-05-22,Temporary,EMP1007,65975.72,
Kimberly Torres MD,Female,German,Cashier,Lead Cashier,12/8/1990,joshua01@example.net,0000000000,,1986-12-28,Temporary,EMP1008,54470.78,1/31/1988
Edward Roy,Male,American,Management,Store Manager,10/6/1996,dunnsarah@example.org,0000000000,"Unit 1679 Box 7951
DPO AP 55688",2003-11-15,Temporary,EMP1009,63434.96,4/23/2008
